ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Example_Comment_English,Example_URL,Sense_IDs
XV000022,tkw,Buro pon i-katau abo ne ene!,,,This song suits my blood! (=I love it!),,,hum,,SN000015 ; SN000843
XV000023,tkw,Abu ne-kila Puma!,,,Let me try and ring the guys in Puma.,,,teleradio,,SN000016 ; SN000897 ; SN001868
XV000024,tkw,Abu le-romo kape i-ka we tae?,,,Let's see if she'll come or not.,,,,,SN000016
XV000025,tkw,Abu bai-aiu ba-vio me ne-rom!,,,Could you please stand up and let me have a look there?,,,,,SN000017 ; SN000082 ; SN000237
XV000026,tkw,Ab' u-leng' i-ka.,,,Listen to me for a second.,,,,,SN000017
XV000027,tkw,"O, abu, kaipa! Pe-ka p-atui botu 'none!",,,"Come on, you all! Come and check out my boat!",,,,,SN000018 ; SN000789
XV000028,tkw,"Kape idi abia ponu na Aneve na, li-abu li-le li-vio n’ ole.",,,Let everyone in the village go down and stand on the beach.,,,,,SN000019
XV000029,tkw,Pana iawo i-abu mijaka.,,,The flames (of the fire) have died down a little.,,,,,SN000020
XV000030,tkw,"O, tae, la-wañaka iada ka i-abu i-wene.",,,"That's all right, their dispute has gone down now.",,,,,SN000020
XV000031,tkw,Kape n-ab' ne-le Honiara.,,,I'll travel west [lit. down] to Honiara.,,,,,SN000021
XV000032,tkw,I-sabu i-abu ne ero.,,,He fell down in the river.,,,,,SN000022 ; SN001572 ; SN001939
XV000033,tkw,Kuo pine ponu i-atili i-abu i-le.,,,The huge canoe was sliding down (on the rollers).,,,,,SN000022 ; SN000182 ; SN001018
XV000034,tkw,Ero i-pu i-abu i-vagasi revo.,,,The river flows down to the sea.,,,,,SN000022 ; SN000590 ; SN001861 ; SN001917 ; SN002426
XV000035,tkw,Li-toe dero i-abu.,,,They cut down the cauri tree.,,,,,SN000023 ; SN002317
XV000036,tkw,Ni-tabulu voko i-abu i-le ne gilita.,,,I rolled a rock down into the valley.,,,,,SN000023 ; SN000628 ; SN002045 ; SN002598
XV000037,tkw,Ka mobo kata kape la-ka ponu: li-elele kuo iada i-abu.,,,"The next day, as they were getting ready, they dragged their canoe down (on the sand).",,,,https://doi.org/10.24397/pangloss-0003351#S66,SN000023
XV000038,tkw,Ngiro Tangake i-aka i-abu i-kamai tev' iu ne.,,,The Tangake wind blows down from the east.,,,,,SN000024 ; SN002102 ; SN002280
XV000039,tkw,"Ka vitoko kape i-abu tanoma ini, ia i-abu i-kovi.",,,He nearly hit her face; but he missed.,,,,,SN000025 ; SN000780 ; SN000992 ; SN002099
XV000040,tkw,"Dapa kula li-abu revo, me le-labu namuko.",,,"The others slap the water, in order to (scare and) catch the fish.",,,,,SN000025
XV000041,tkw,Vilisao i-abu toñaki pon.,,,The ships were struck by a tornado.,,,,,SN000025
XV000042,tkw,Li-abu ukalele ka gita.,,,They play the ukulele and the guitar.,,,,,SN000026 ; SN000629
XV000043,tkw,Ngele i-abu?,,,Who's playing?,,,music,,SN000026
XV000044,tkw,Pon tadoe? Pon tepakola? Kape i-abu idi?,,,Is that a god? Is that a giant? Does he kill people?,,,,https://doi.org/10.24397/pangloss-0003351#S161,SN000027 ; SN000814 ; SN002217
XV000045,tkw,"Nga po idi le-sune ngele kape i-te, pon kape l-abu.",,,"If they found somebody around, they would kill him.",,,,,SN000027
XV000046,tkw,Tadoe tae: i-abu idi tae.,,,"He's not a monster, he doesn't kill people.",,,,,SN000027
XV000047,tkw,Mobo kape le-lui nuduro me l-abu namuko.,,,Tomorrow we'll carry the scareline to get some fish.,,,,,SN000028 ; SN001633
XV000048,tkw,Kape n-abu lusa ene ne iaero.,,,I'm gonna wash my shirt in the river.,,,,,SN000029
XV000049,tkw,U-ka u-abu u-te ene!,,,Come sit down here!,,,,,SN000030 ; SN000561
XV000050,tkw,Pi-ka pi-abui ngatene upa pi-ko me p-ajau toñaki iote.,,,We took our tools down (from the ship) so as to build another boat.,,,,,SN000031 ; SN000514 ; SN000941
XV000051,tkw,"Li-toe bale, abwa i-pu i-ke.",,,"When you cut at a breadfruit, sap will come out.",,,,,SN000032
XV000052,tkw,"Abwa dero i-ke mina oie basavono po li-toe, i-ka i-beiu ka li-kila li-ko “tepulu peini dero”.",,,"The sap of the kauri tree runs out of the trunk when you cut it; then it solidifies, and we call it tepulu1, “kauri gum”.",,,,,SN000032 ; SN000291 ; SN000454
XV000053,tkw,Li-kanu ra ra li-ra abwa nabene.,,,"As they chew betelnut, what they spit out is red.",,,,,SN000034 ; SN001897
XV000054,tkw,"Dapa ka li-romo i-katau kiñe tamate, lusa ini, temaka ene pe moloe, ene po koro, ene po nga toloto, ene ka ene nga toloto –",,,"They would observe the grass skirts, the dancing gear; which part was red, which part was white, which part was green, here and here…",,,,https://doi.org/10.24397/pangloss-0003351#S176,SN000036
XV000055,tkw,"Dapa Niteni li-loko viavia mamdeuko pe moloe, li-la abwa bale li-lateli ne mengela vilo, li-ejau viko iadapa ñei.",,,"The people of Santa Cruz collect the red feathers of the Cardinal honeyeater, then use breadfruit sap to glue them to a piece of wood: that's how they make their traditional money.",,,,,SN000037
XV000056,tkw,abwaro peini luro,,,coconut milk,,,,,SN000038
XV000057,tkw,mama ada,,,their taro pudding,,,,,SN000039
XV000058,tkw,buioe ada,,,their areca nut (for them to chew),,,,,SN000039
XV000059,tkw,ngaten' ada,,,their food or their belongings,,,,,SN000039
XV000060,tkw,et' ada,,,their mother (of them two),,,,,SN000040
XV000061,tkw,tili' ada,,,their brother (of them two),,,,,SN000040
XV000062,tkw,gi' ada,,,their uncle (of them two),,,,,SN000040
XV000063,tkw,avtebe me vongoro adapa,,,their taro and almonds,,,,,SN000041
XV000064,tkw,Li-ejau none pine adapa ne kulumoe.,,,They are preparing a huge meal for the villagers.,,,,,SN000041 ; SN000522 ; SN001829
XV000065,tkw,monone adapa,,,their (wooden) chest,,,,,SN000041
XV000066,tkw,ngaten' adapa,,,their food or their belongings,,,,,SN000041
XV000067,tkw,piene adapa Teanu,,,the language of (the people of) Teanu,,,,,SN000041
XV000068,tkw,et' adapa,,,their mother,,,,,SN000042
XV000069,tkw,gi' adapa,,,their uncle,,,,,SN000042
XV000070,tkw,dapa tieli adapa,,,their brothers / their friends,,,,,SN000042
XV000071,tkw,adawo beve,,,white cloud,,,,,SN000043 ; SN000313
XV000072,tkw,adawo boroboro,,,"dark, rainy cloud",,,,,SN000043 ; SN000409
XV000073,tkw,I-akale adie ini.,,,He's scratching his back.,,,,,SN000044 ; SN000093
XV000074,tkw,La-koie Teanu la-koie ne Adie Vono.,,,They came on shore on Teanu via the rear side of the island.,,,,,SN000045
XV000075,tkw,Li-vio li-dai adie nuduro.,,,They are standing behind the fishing vine.,,,,,SN000045
XV000076,tkw,adie tomoro wako,,,afternoon,,,,,SN000046 ; SN002336
XV000077,tkw,"Adie, pi' iape ini i-ka, i-atevo iepiene peini noma.",,,Then her grandfather came in and told her a story.,,,,,SN000047
XV000078,tkw,A-vete a-ko ae?,,,What did you say?,,,,,SN000049
XV000079,tkw,"Na, piene adapa Teanu a-ko ae?",,,"How is this called in Teanu? [lit. this, in Teanu language, you say what?]",,,,,SN000049 ; SN001536
XV000080,tkw,Na toñaki ae na?,,,What sort of ship is this?,,,,,SN000049
XV000081,tkw,"Enga ini iote li-ko, ae, Takole.",,,"It also had another name, (what is it?) Takole.",,,,,SN000050
XV000082,tkw,"Tano ponu, li-ae mijaka me kava i-pu i-katau.",,,"This kava bowl has been hollowed out a little, to allow kava to flow along.",,,,,SN000051 ; SN000844 ; SN002095
XV000083,tkw,"I-bo kuo awoiu, i-ae lema.",,,"Once he had cut out the canoe, he began to hollow out its inner part.",,,,,SN000051 ; SN001018
XV000084,tkw,"Li-mabui li-ae tanoe, wako ka li-lateli teve.",,,"They quietly dug a hole in the ground, and put (the treasure) there.",,,,https://doi.org/10.24397/pangloss-0003269#S9,SN000052 ; SN000767 ; SN001094 ; SN001208 ; SN002675
XV000085,tkw,Li-ae kie.,,,They're digging a grave.,,,,,SN000053
XV000086,tkw,Na uo kula kupa ka pi-ae.,,,These are a few yams we just dug out.,,,,,SN000054 ; SN002401
XV000087,tkw,"Pe-le, p-ae none! P-ae jebute, me pe-tau me p-e!",,,Go and dig out some food! Dig out some taros you can cook and eat!,,,,,SN000054 ; SN001792
XV000088,tkw,Loubo iote i-ke vidiviko ne ale ene.,,,A crab has bitten my toe.,,,,,SN000055
XV000089,tkw,I-la aele wa-tuo.,,,He took six steps.,,,,,SN000056 ; SN001041 ; SN002371
XV000090,tkw,aero pe idi li-ejau i-dai mane,,,the fence erected around the dancing area,,,,,SN000058
XV000091,tkw,Aero iupa i-vio vitoko na.,,,Our (pig) pen is very close.,,,,,SN000059
XV000092,tkw,aero ne matarone,,,[limit of entrance] threshold,,,,,SN000060
XV000093,tkw,aero iadapa Teanu,,,the territory of the Teanu tribe,,,,,SN000061 ; SN000646
XV000094,tkw,Le-le ne touro li-odo aero?,,,Shall we go to the reef shore and look for seashells?,,,,,SN000062 ; SN001710 ; SN002363
XV000095,tkw,Li-ia aero.,,,scrape cone shells to make cowries,,,,,SN000064
XV000096,tkw,"Li-loko aero we anive, li-si kangele i-ke mina.",,,"They collect cone shells, and cut off the mollusc part.",,,,,SN000064 ; SN000802 ; SN001390 ; SN001979
XV000097,tkw,Aeve pana!,,,The sun's hot!,,,,,SN000065 ; SN001773
XV000098,tkw,Li-tabe i-le i-wene ne aeve me kokoro.,,,They bring it out to lie in the sun so it dries up.,,,,,SN000065 ; SN000970 ; SN001307
XV000099,tkw,Aeve ka i-vene labiou awoiu.,,,The sun has long risen already.,,,,,SN000066 ; SN001059
XV000100,tkw,Aeve ka i-le.,,,[the sun has gone away] It is early afternoon.,,,,,SN000066
XV000101,tkw,Aeve ka i-tavali.,,,[the sun has gone down] it is late afternoon.,,,,,SN000066
XV000102,tkw,Aeve ka tivi na? – Aeve ka tili.,,,[lit. How many suns?] What time is it now? – It's five o'clock.,,,,,SN000067 ; SN002299
XV000103,tkw,Ne-ko ne-tabo ne-le ne kulumoe ne aeve i-etengi wa-tili.,,,I'll return to the village at 5pm [when the sun strikes five times].,,,,,SN000067 ; SN000613
XV000104,tkw,Ni-le ni-sune puro agilo i-wene ene.,,,"As I was walking, I found an arrow with a pointed arrowhead.",,,,,SN000068 ; SN002016
XV000105,tkw,"Puro pon, li-bo agilo ene.",,,That arrow was sharpened into an arrowhead.,,,,,SN000068
XV000106,tkw,Ni-ago namuko i-kovi.,,,I speared a fish but it escaped.,,,,,SN000069 ; SN000993 ; SN001562
XV000107,tkw,La-le lai-ago telupe?,,,Shall we go pigeon-hunting?,,,,,SN000070 ; SN001104 ; SN002190
XV000108,tkw,"Basavono po le-ko li-ago idi, li-katei puro i-ke ka li-ago.",,,"When you want to shoot someone, you draw out an arrow and shoot.",,,,,SN000070 ; SN000850 ; SN001155
XV000109,tkw,U-la tepao u-ago ñe namuko pon.,,,You spear the fish with a harpoon.,,,,,SN000071 ; SN002219
XV000110,tkw,"Besungale ini emele ero me ini biouro, i-ago ñe eo kape u-bu.",,,"Besungale is a woman with long breasts, with which she can strike you to death.",,,mythology,,SN000071
XV000111,tkw,Ai-ovei Cindy?,,,Do you know Cindy?,,,,,SN000073 ; SN001750
XV000112,tkw,Ka ai-ve?,,,Have you given birth?,,,,,SN000073
XV000113,tkw,ai' one,,,my father,,,,,SN000074 ; SN001734
XV000114,tkw,aia,,,your father,,,,,SN000074
XV000115,tkw,"Awis pine, aia!",,,"Thanks a lot, my dear! [lit. father!]",,,,,SN000076
XV000116,tkw,"Mobo wako, ai' ie Womtelo!",,,"Good morning, father of Womtelo!",,,,,SN000076
XV000117,tkw,"Piene adapa i-wen' moli, i-aiae tae!",,,"Their language is easy, it's not difficult.",,,,,SN000077 ; SN002728
XV000118,tkw,"Li-vete piene ñi i-aiae, ia li-lengi wako.",,,"They speak it with difficulty, but they understand it well.",,,,,SN000077
XV000119,tkw,Ni-romo viko i-aiae teve ene.,,,Money is an issue for me.,,,,,SN000077 ; SN002529
XV000120,tkw,Na tanoe aidi abia.,,,This land belongs to everyone.,,,,,SN000078 ; SN000670 ; SN002097
XV000121,tkw,"Noma li-lanasu idi ne kula none aidi, we viñe buioe aidi.",,,"In the olden days, black sorcery would make use of someone's leftover food, or of their leftover betel nut.",,,,,SN000078
XV000122,tkw,Et’ aidi li-odo uko ñe basa damiliko iadapa.,,,The mothers are looking for lice in their children's hair.,,,,,SN000079 ; SN001710 ; SN002388
XV000123,tkw,"Uk' aidi, li-labu motoro.",,,In-laws are to be respected.,,,,,SN000079 ; SN001155 ; SN001474 ; SN002391
XV000124,tkw,Ka vitoko kape le-mui piene aipa.,,,They will soon forget your language.,,,,,SN000080
XV000125,tkw,Pi-valangia nganae aipa ponu?,,,What are you guys carrying? [lit. which things of yours],,,,,SN000080
XV000126,tkw,Pie aipa li-atevo i-ka?,,,Did your elders tell the story to you?,,,,,SN000081 ; SN000776
XV000127,tkw,Ka u-aiu!,,,Stand up!,,,,,SN000082
XV000128,tkw,Idi abia ne kulumoe li-aiu li-le li-langatene ne sekele.,,,All the villagers have left to go and work in their gardens.,,,,,SN000083
XV000129,tkw,P-aiu pe-wo pe-le ne ngogoro!,,,Get up and run away to the bush!,,,,,SN000083 ; SN001112 ; SN002743
XV000130,tkw,Ngiro Palapu i-ka ka li-aiu li-ke li-pwalau i-le Iura.,,,"As soon as the northern wind began to blow, they left [Vanikoro] and set off to sail southwards.",,,,,SN000083 ; SN000739 ; SN000875 ; SN001883
XV000131,tkw,Dapa li-aiu momobo li-vongo adapa.,,,They woke up in the morning and took their breakfast.,,,,,SN000084 ; SN001444
XV000132,tkw,Ai’ akapa i-tabe ma ini boso eo ka uña damiliko iono.,,,Let our Father raise his hand above you and your children.,,,blessing,,SN000085 ; SN001200 ; SN002037
XV000133,tkw,Ni-bo ajekele mina mevele 'none.,,,I have collected rubbish from my front yard.,,,,,SN000087 ; SN000332 ; SN001368
XV000134,tkw,Kape le-loko ajekele le-iui ne revo.,,,They're going to gather rubbish and throw it into the sea.,,,,,SN000087 ; SN000714 ; SN001917
XV000135,tkw,Ngiro i-aka.,,,The wind is (blowing) strong.,,,,,SN000088
XV000136,tkw,Nanana i-aka tamwase.,,,Today it’s blowing very hard.,,,,,SN000088
XV000137,tkw,Ngiro Tokolau i-aka i-ka tev' tawo ne.,,,The Tokolau wind blows from the west.,,,,,SN000088 ; SN002282 ; SN002322
XV000138,tkw,"Waiero peini apono i-aka i-ka pon, ini i-kot’ i-le.",,,"As the waves of the tempest began gushing it, he ran away.",,,,https://doi.org/10.24397/pangloss-0003352#S118,SN000089
XV000139,tkw,Awa ene i-aka (ñe eo).,,,[lit. my neck/mind is blowing hard (at you)] I am angry at you.,,,,,SN000090
XV000140,tkw,Awa eo i-aka ñe ene etapu!,,,Don't be angry at me!,,,,,SN000090
XV000141,tkw,Kape n-aka basa ene.,,,I'm gonna wash my face.,,,,,SN000091
XV000142,tkw,I-la men' iape i-lui i-aka.,,,She took her baby and washed her gently.,,,,,SN000091
XV000143,tkw,Ni-aka okoro ne ero.,,,I washed the knife in the river.,,,,,SN000091 ; SN001721
XV000144,tkw,"Li-akai i-le ne meteliko, menuko i-ava i-ka…",,,"We set [a trap] up in the sky, and when a bird flies in…",,,bird hunting,,SN000092
XV000145,tkw,ero korone akapa,,,our alcohol (to drink),,,,,SN000094
XV000146,tkw,Dapa Tukupie li-koie li-te ne tanoe akapa Vanikoro ponu.,,,Tikopians have settled on our land of Vanikoro.,,,,,SN000094
XV000147,tkw,Uña damiliko li-mui pe li-wo ñe piene akapa.,,,Children don't know how to count in Teanu.,,,,,SN000095
XV000148,tkw,Pi' akapa dapa li-atevo nga pon.,,,That's what our ancestors used to say.,,,,,SN000096 ; SN000180
XV000149,tkw,Ka ai’ akapa i-tabe ma ini boso eo.,,,Our Father has waved his hands above you.,,,blessing,,SN000096 ; SN000350
XV000150,tkw,Awisi pine peini angede ovene ai-akasi i-ka.,,,Many thanks for the email you sent me.,,,,,SN000097 ; SN000157 ; SN000222
XV000151,tkw,Ka i-akasi pi’ iape.,,,He sent his grandson.,,,,https://doi.org/10.24397/pangloss-0003352#S41,SN000097
XV000152,tkw,"Noma, idi wopine li-akawo kolokolo me i-botongo dapa.",,,"In ancient times, great men used to wear ‘kolokolo’ breast plates as a protection.",,,,,SN000098 ; SN000357 ; SN000971
XV000153,tkw,Ni-akawo temamene.,,,I'm carrying my rucksack.,,,,,SN000099
XV000154,tkw,"Li-akawo tabuluburi ne adie idi, puro i-vio ene.",,,"You hang a quiver on your shoulder, with arrows [standing] inside.",,,,,SN000099 ; SN002559
XV000155,tkw,namolo iakia ka none akia ka ero me kia,,,"our clothes, our food, our water",,,,,SN000100
XV000156,tkw,et’ akia,,,our mother (of you and me),,,,,SN000101
XV000157,tkw,"Noma, viabas' ene i-ako.",,,I used to have blond hair.,,,,,SN000102
XV000158,tkw,udo pe i-ako,,,ripe bananas,,,type of banana,,SN000104
XV000159,tkw,vidiviko ne ale ene,,,my toes [lit. fingers of my foot],,,,,SN000105
XV000160,tkw,al’ ero,,,[the foot of a river] river mouth,,,,,SN000106
XV000161,tkw,"Lai-au jebute, la-kidi puluko ada, lai-ali buioe ada, la-kamai ponu.",,,"They went to harvest some taros, pinch off some betel leaves, pick some areca nuts, and came back.",,,,https://doi.org/10.24397/pangloss-0003351#S4,SN000107 ; SN000889 ; SN001867
XV000162,tkw,Kape u-ali pele po a-labu ponu?,,,Will you be casting that net you're holding?,,,,,SN000108 ; SN001848
XV000163,tkw,alero peini iaero Paiu,,,the mouth of the Paiu river,,,,,SN000111 ; SN001768
XV000164,tkw,"Uie lumobo po i-vi ponu, i-amei, i-amei, i-amei, i-amei, i-amei, i-amei i-ioi i-le ponu.",,,"Once he had tied the leaves (around the stone), he began to swing it, swing, swing, swing, till he threw it far away.",,,,https://doi.org/10.24397/pangloss-0003352#S100,SN000112 ; SN000714 ; SN001194 ; SN002498
XV000165,tkw,"Buioe amela, kela bai-odo ngapwae?",,,"Your areca nuts (for you to chew), how will you find them?",,,,,SN000113 ; SN001685
XV000166,tkw,Li-ejau aña none mijaka.,,,We cook a little (bit of) food.,,,,,SN000115 ; SN000143 ; SN000515
XV000167,tkw,none aidi mijaka,,,food for just a few people,,,,,SN000115
XV000168,tkw,Ero na mijaka: votobo pe ni-anu tae.,,,"There's too little water, it's not enough for me to drink.",,,predicate,,SN000115 ; SN002627
XV000169,tkw,N-atevo iepiene amjaka peini Laperus.,,,I'll tell a short story about Lapérouse.,,,,,SN000116
XV000170,tkw,U-katau anoko u-vene u-le amjaka.,,,Just follow the road a little further up.,,,,,SN000117 ; SN000136 ; SN000841
XV000171,tkw,Ni-ovei mijaka ponu.,,,I only know that little bit.,,,,,SN000117
XV000172,tkw,Kap' ne-langatene mijaka.,,,I'm going to work a little.,,,,,SN000117
XV000173,tkw,I-te i-labiou mijaka.,,,He's been here for quite long.,,,,,SN000117
XV000174,tkw,Amoso!,,,Sir!,,,respectful address,,SN000120
XV000175,tkw,Ai-ovei Amoso Lavalu?,,,Do you know Mr Lavalu?,,,,,SN000120
XV000176,tkw,Li-bi vilo li-la ñe amuko.,,,They carved some wood and applied seaweed varnish to it.,,,,,SN000122 ; SN002543
XV000177,tkw,anes kulevelu,,,chicken meat,,,,,SN000130 ; SN001006
XV000178,tkw,anes poi,,,pork meat,,,,,SN000130 ; SN001892
XV000179,tkw,anes namuko,,,fish meat,,,,,SN000130 ; SN001562
XV000180,tkw,anes mwaliko,,,human flesh,,,rare,,SN000130
XV000181,tkw,Da-tilu pe Teanu. Kulumoe iada Aneve.,,,They were from Teanu island; their village was Aneve.,,,,https://doi.org/10.24397/pangloss-0003351#S1,SN000131 ; SN000644 ; SN001010 ; SN002145
XV000182,tkw,"Li-aneve lema mwoe, ka maro.",,,"They sweep inside the house, and outside too.",,,,,SN000132 ; SN000766 ; SN001136 ; SN001261
XV000183,tkw,Ni-rom anive iote pine ni-sai ñe kuo 'none ne.,,,"I saw a large dugong, I thought it was (as big as) my canoe.",,,,,SN000133 ; SN001945
XV000184,tkw,Vilo iote pine i-sabu ne anoko.,,,There's a large tree fallen across the road.,,,,,SN000136 ; SN001939
XV000185,tkw,A-ka a-kae? – Ni-katau anoko ni-ka.,,,How did you come? – I just followed the road. (I walked),,,,,SN000136 ; SN000772 ; SN000784
XV000186,tkw,"Nga ne bogo, le-romo i-katau vangana kanmoro iu, li-ovei li-ejau anoko iadapa.",,,"At night, they would follow the shining stars, and thus recognise their itinerary.",,,sailing ships,,SN000137 ; SN000797
XV000187,tkw,Awa ini i-ko i-anu laro.,,,He'd like to drink a fresh coconut.,,,,Tamate.094,SN000139 ; SN001093
XV000188,tkw,Li-anu kava awoiu ka li-vongo viri.,,,"We first drink kava, and then have dinner.",,,,https://doi.org/10.24397/pangloss-0003351#S94,SN000139 ; SN002573
XV000189,tkw,"Li-anu ero pana ka li-kanu, ka li-moloe ne kat.",,,"We drink tea, we chew areca nuts, and we play cards.",,,,,SN000139 ; SN000767 ; SN000801 ; SN001442
XV000190,tkw,viñe anuele,,,turtle shell (often cut into various ornaments),,,,,SN000140
XV000191,tkw,aña mana luro,,,a bit of rice,,,,,SN000143 ; SN001254
XV000192,tkw,Aña wako tadoe!,,,[Taste is terribly good] This is absolutely delicious!,,,,,SN000144
XV000193,tkw,None ne aña tamwaleko.,,,"[this food, taste is bad] This food doesn't taste good.",,,,,SN000144
XV000194,tkw,aña ruene pe li-ko,,,the noise of a door being slammed,,,,,SN000145
XV000195,tkw,Aña kuo.,,,This is the noise of a canoe.,,,,,SN000145
XV000196,tkw,Li-viane tepapa me aña ini.,,,They jump on the (dancing) boards for the sound it makes.,,,,,SN000145 ; SN001308
XV000197,tkw,Aña ene tae!,,,[lit. I have no energy] I'm tired!,,,,,SN000146
XV000198,tkw,"Nga aña ene tae, ni-le ni-wene, awoiu ni-lengi wako.",,,"Whenever I feel tired, I take a nap, then I feel better.",,,,,SN000146 ; SN001658
XV000199,tkw,Aña dameliko 'none mamote pi-mini tae.,,,We haven't performed the ceremony of initiation for my children yet.,,,,,SN000148
XV000200,tkw,Menu ie teliki i-ovei pe i-vene i-ka ini teliki i-laiaini ai’ iape pe ai’ iape i-mini aña.,,,"A chief's son can rise to become chief, succeeding his father, only if the father has bequeathed it to him.",,,,,SN000148
XV000201,tkw,Teulungo ie ai’ adapa li-ovei pe li-la nga ai’ adapa i-mini aña dapa.,,,"The headrest of their father, they can inherit it only if their father has performed the transmission ritual towards them.",,,upon the father's death,,SN000148 ; SN002252
XV000202,tkw,Tebo i-añabu ene.,,,I got soaked by the rain.,,,,,SN000149
XV000203,tkw,Li-mali iawo semame añaña longe.,,,We light a fire with small bits of firewood.,,,,,SN000150 ; SN001164
XV000204,tkw,angede ene,,,my footprints,,,,,SN000154
XV000205,tkw,angede idi,,,footprints,,,unknown possessor,,SN000154
XV000206,tkw,angede vao,,,tracks of wild pig,,,,,SN000154
XV000207,tkw,angede kulevelu,,,tracks of chicken,,,,,SN000154
XV000208,tkw,angede Upeire,,,traces left (in the landscape) by Upeire the mythical ogress,,,,,SN000155
XV000209,tkw,Minga kape le-sune angede ovene po Laperus i-si ponu.,,,One day someone will find the message which was written by Lapérouse.,,,,https://doi.org/10.24397/pangloss-0003270#S11,SN000157 ; SN001981 ; SN002016
XV000210,tkw,"E, apali! U-ka ko!",,,"Hey, child! Come here!",,,,,SN000158
XV000211,tkw,Basavono pon ene mamote apali.,,,"At that time, I was still a child.",,,,,SN000158
XV000212,tkw,Eo apalimata ene.,,,You're my relative.,,,,,SN000159
XV000213,tkw,Apalimata Stanley tilu kape la-ka la-romo ini.,,,Two of Stanley's relatives will come visit him.,,,,,SN000159
XV000214,tkw,namuko ape,,,his/her fish (to eat),,,,,SN000160
XV000215,tkw,okoro ape,,,his/her knife,,,,,SN000160
XV000216,tkw,Taluaito i-su uro ape.,,,The sorcerer lit his (magic) charcoal.,,,,,SN000160 ; SN002411
XV000217,tkw,Ene ni-mui piene ape.,,,I don't know her language.,,,,,SN000160 ; SN001819
XV000218,tkw,okoro aplaka,,,a small knife,,,,,SN000161
XV000219,tkw,toñaki apilaka,,,a small boat,,,,,SN000161
XV000220,tkw,monone aplaka,,,a small box,,,,,SN000161
XV000221,tkw,basakulumoe iote aplaka,,,a little island,,,,,SN000161 ; SN000264
XV000222,tkw,Oie ini aplaka.,,,[her size is small] She is slim.,,,,,SN000161
XV000223,tkw,men' iaba aplaka,,,our small baby,,,,,SN000162
XV000224,tkw,emele aplaka,,,[lit. a small woman] a young girl,,,,,SN000162
XV000225,tkw,Mwasu iote apilaka,,,the younger Mwasu,,,,,SN000162
XV000226,tkw,Li-apilo vekai wamtaka.,,,They made small puddings.,,,,,SN000163
XV000227,tkw,Dapa noma vana li-apilo tenuro.,,,People in the past used to make coconut-string ropes.,,,,,SN000163 ; SN002211
XV000228,tkw,Li-apilo toñaki.,,,They built a ship.,,,,,SN000163
XV000229,tkw,Li-apilo sekele i-le li-teli avtebe.,,,"Once they had prepared the gardens, they planted taros.",,,,,SN000164 ; SN000210 ; SN001977
XV000230,tkw,Vilisao i-lubi kuo ka i-apini idi.,,,The tornado spun the ship and killed everybody.,,,,,SN000165 ; SN001186
XV000231,tkw,"Noma, li-apinu ne mwoe.",,,"In the old days, cooking was done inside the house.",,,,,SN000166
